Purpose,Sector,Instrument,Action,Price,Lots/grams,Total Spend,Action Date,Notes,Approach
Long Term Investing,Stock,SCCO,BUY,2371,29,"Rp6,875,900.00",13 Oct 2025,SCCOSUCACO(SUPREME CABLE MANUFACTURING)D,Deep Value
Long Term Investing,Stock,SCCO,BUY,2360,18,"Rp4,248,000.00",14 Oct 2025,SCCOSUCACO(SUPREME CABLE MANUFACTURING)D,Deep Value
Long Term Investing,Stock,LPIN,SELL,462,44,"Rp2,032,800.00",27 Oct 2025,LPINMULTI PRIMA SEJAHTERA TBKD,
Long Term Investing,Stock,LPKR,BUY,92,220,"Rp2,024,000.00",27 Oct 2025,LPKRLIPPO KARAWACID,Deep Value
Long Term Investing,Stock,LPKR,BUY,87,115,"Rp1,000,500.00",28 Oct 2025,LPKRLIPPO KARAWACID,Deep Value
Long Term Investing,Stock,SCCO,BUY,2390,1,"Rp239,000.00",29 Oct 2025,SCCOSUCACO(SUPREME CABLE MANUFACTURING)D,Deep Value
Long Term Investing,Stock,INCI,BUY,625,4,"Rp250,000.00",29 Oct 2025,INCIINTAN WIJAYA INTERNATIONALD,Deep Value
Long Term Investing,Stock,LPKR,BUY,88,432,"Rp3,801,600.00",29 Oct 2025,LPKRLIPPO KARAWACID,Deep Value
Long Term Investing,Stock,SPY,BUY,"Rp11,386,714",0.00086954869,"Rp990,130.26",30 Oct 2025,SPDR S&P 500 ETF,
Long Term Investing,Stock,KSIX,SELL,330,46,"Rp1,518,000.00",3 Nov 2025,KSIXKENTANIX SUPRA INTERNATIONAL TBKD,
Long Term Investing,Stock,KSIX,SELL,336,24,"Rp806,400.00",4 Nov 2025,KSIXKENTANIX SUPRA INTERNATIONAL TBKD,
Long Term Investing,Stock,KSIX,SELL,338,24,"Rp811,200.00",5 Nov 2025,KSIXKENTANIX SUPRA INTERNATIONAL TBKD,
Long Term Investing,Stock,KSIX,SELL,350,119,"Rp4,165,000.00",10 Nov 2025,KSIXKENTANIX SUPRA INTERNATIONAL TBKD,
Long Term Investing,Stock,INCI,BUY,675,15,"Rp1,012,500.00",10 Nov 2025,INCIINTAN WIJAYA INTERNATIONALD,Deep Value
Long Term Investing,Stock,SCCO,BUY,2430,5,"Rp1,215,000.00",10 Nov 2025,SCCOSUCACO(SUPREME CABLE MANUFACTURING)D,Deep Value
Long Term Investing,Stock,ASGR,BUY,1230,9,"Rp1,107,000.00",11 Nov 2025,ASGRASTRA GRAPHIA TBKD,Dividend - Growth Value
Long Term Investing,Stock,LPKR,BUY,88,114,"Rp1,003,200.00",11 Nov 2025,LPKRLIPPO KARAWACID,Deep Value
Long Term Investing,Stock,UCID,BUY,442,23,"Rp1,016,600.00",11 Nov 2025,UCIDPT Uni-Charm Indonesia TbkD,Deep - Growth Value
Long Term Investing,Stock,KSIX,SELL,346,18,"Rp622,800.00",11 Nov 2025,KSIXKENTANIX SUPRA INTERNATIONAL TBKD,
Long Term Investing,Stock,BAYU,SELL,"1,315",34,"Rp4,471,000.00",24 Nov 2025,BAYUBAYU BUANA TRAVEL SERVICED,
Long Term Investing,Stock,LPKR,BUY,88,455,"Rp4,004,000.00",24 Nov 2025,LPKRLIPPO KARAWACID,Deep Value
Long Term Investing,Stock,SCCO,BUY,2400,4,"Rp960,000.00",24 Nov 2025,SCCOSUCACO(SUPREME CABLE MANUFACTURING)D,Deep Value
Long Term Investing,Stock,UCID,BUY,442,91,"Rp4,022,200.00",24 Nov 2025,UCIDPT Uni-Charm Indonesia TbkD,Deep - Growth Value
Long Term Investing,Stock,SPY,SELL,"Rp11,049,235",0.0058443247,"Rp6,457,531.88",24 Nov 2025,SPDR S&P 500 ETF,
Long Term Investing,Stock,ASGR,BUY,1280,4,"Rp512,000.00",25 Nov 2025,ASGRASTRA GRAPHIA TBKD,Dividend - Growth Value
Long Term Investing,Stock,LPKR,BUY,91,110,"Rp1,001,000.00",28 Nov 2025,LPKRLIPPO KARAWACID,Deep Value
Long Term Investing,Stock,UCID,BUY,430,12,"Rp516,000.00",28 Nov 2025,UCIDPT Uni-Charm Indonesia TbkD,Deep - Growth Value
Long Term Investing,Stock,KSIX,SELL,386,6,"Rp231,600.00",1 Dec 2025,KSIXKENTANIX SUPRA INTERNATIONAL TBKD,
Long Term Investing,Stock,DIVA,BUY,178,57,"Rp1,014,600.00",3 Dec 2025,DIVADISTRIBUSI VOUCHER NUSANTARA TBKD,Deep Value
Long Term Investing,Stock,LPLI,BUY,452,23,"Rp1,039,600.00",5 Dec 2025,LPLISTAR PACIFIC TBKD,Deep Value
Long Term Investing,Stock,DIVA,BUY,187,54,"Rp1,009,800.00",8 Dec 2025,DIVADISTRIBUSI VOUCHER NUSANTARA TBKD,Deep Value
Long Term Investing,Stock,LPLI,BUY,456,22,"Rp1,003,200.00",8 Dec 2025,LPLISTAR PACIFIC TBKD,Deep Value
Long Term Investing,Stock,LPKR,SELL,128,587,"Rp7,513,600.00",23 Jan 2026,LPKRLIPPO KARAWACID,
Long Term Investing,Stock,LPKR,SELL,116,648,"Rp7,516,800.00",26 Jan 2026,LPKRLIPPO KARAWACID,
Long Term Investing,Stock,INCI,SELL,738,158,"Rp11,660,400.00",26 Jan 2026,INCIINTAN WIJAYA INTERNATIONALD,
Long Term Investing,Stock,ASGR,SELL,"1,625",31,"Rp5,037,500.00",26 Jan 2026,ASGRASTRA GRAPHIA TBKD,
Long Term Investing,Stock,SCCO,SELL,"2,600",68,"Rp17,680,000.00",26 Jan 2026,SCCOSUCACO(SUPREME CABLE MANUFACTURING)D,
Long Term Investing,Stock,LPIN,SELL,451,189,"Rp8,523,900.00",26 Jan 2026,LPINMULTI PRIMA SEJAHTERA TBKD,
Long Term Investing,Stock,BUKA,SELL,158,184,"Rp2,907,200.00",26 Jan 2026,BUKABUKALAPAK.COM TBKD,
Long Term Investing,Stock,SMDR,SELL,388,8,"Rp310,400.00",26 Jan 2026,SMDRSAMUDERA INDONESIAD,
Long Term Investing,Stock,SMDR,SELL,362,8,"Rp289,600.00",23 Apr 2026,SMDRSAMUDERA INDONESIAD,
Long Term Investing,Stock,BUKA,BUY,165,20,"Rp330,000.00",23 Apr 2026,BUKABUKALAPAK.COM TBKD,Deep Value
Long Term Investing,Stock,DIVA,BUY,163,30,"Rp489,000.00",23 Apr 2026,DIVADISTRIBUSI VOUCHER NUSANTARA TBKD,Deep Value
Long Term Investing,Stock,INCI,BUY,735,7,"Rp514,500.00",23 Apr 2026,INCIINTAN WIJAYA INTERNATIONALD,Deep Value
Long Term Investing,Stock,LPKR,BUY,89,40,"Rp356,000.00",23 Apr 2026,LPKRLIPPO KARAWACID,Deep Value
Long Term Investing,Stock,LPLI,BUY,316,26,"Rp821,600.00",23 Apr 2026,LPLISTAR PACIFIC TBKD,Deep Value
Long Term Investing,Stock,RIGS,BUY,690,5,"Rp345,000.00",23 Apr 2026,https://www.tradingview.com/symbols/IDX-RIGS/,Growth Value
Long Term Investing,Stock,SCCO,BUY,2330,2,"Rp466,000.00",23 Apr 2026,SCCOSUCACO(SUPREME CABLE MANUFACTURING)D,Deep Value
Long Term Investing,Stock,UCID,BUY,402,8,"Rp321,600.00",23 Apr 2026,UCIDPT Uni-Charm Indonesia TbkD,Deep Value
Long Term Investing,Stock,ASGR,BUY,1495,5,"Rp747,500.00",22 May 2026,https://www.tradingview.com/symbols/IDX-ASGR/,Growth Value
Long Term Investing,Stock,AUTO,BUY,2540,3,"Rp762,000.00",22 May 2026,https://www.tradingview.com/symbols/IDX-AUTO/,Growth Value
Long Term Investing,Stock,BAYU,BUY,1155,6,"Rp693,000.00",22 May 2026,https://www.tradingview.com/symbols/IDX-BAYU/,Growth Value
Long Term Investing,Stock,BUKA,BUY,129,60,"Rp774,000.00",22 May 2026,BUKABUKALAPAK.COM TBKD,Deep Value
Long Term Investing,Stock,DIVA,BUY,138,55,"Rp759,000.00",22 May 2026,DIVADISTRIBUSI VOUCHER NUSANTARA TBKD,Deep Value
Long Term Investing,Stock,IGAR,BUY,446,9,"Rp401,400.00",22 May 2026,https://www.tradingview.com/symbols/IDX-IGAR/,Growth Value
Long Term Investing,Stock,INCI,BUY,700,11,"Rp770,000.00",22 May 2026,INCIINTAN WIJAYA INTERNATIONALD,Deep Value
Long Term Investing,Stock,LPIN,BUY,388,20,"Rp776,000.00",22 May 2026,https://www.tradingview.com/symbols/IDX-LPIN/,Dividend Value
Long Term Investing,Stock,LPKR,BUY,71,110,"Rp781,000.00",22 May 2026,LPKRLIPPO KARAWACID,Deep Value
Long Term Investing,Stock,LPLI,BUY,254,30,"Rp762,000.00",22 May 2026,LPLISTAR PACIFIC TBKD ,Deep Value
Long Term Investing,Stock,RIGS,BUY,685,11,"Rp753,500.00",22 May 2026,https://www.tradingview.com/symbols/IDX-RIGS/,Growth Value
Long Term Investing,Stock,SCCO,BUY,2390,3,"Rp717,000.00",22 May 2026,SCCOSUCACO(SUPREME CABLE MANUFACTURING)D,Deep Value
Long Term Investing,Stock,UCID,BUY,378,20,"Rp756,000.00",22 May 2026,UCIDPT Uni-Charm Indonesia TbkD,Deep Value
Long Term Investing,Stock,ASGR,BUY,1520,2,"Rp304,000.00",25 May 2026,https://www.tradingview.com/symbols/IDX-ASGR/,Growth Value
Long Term Investing,Stock,AUTO,BUY,2530,1,"Rp253,000.00",25 May 2026,https://www.tradingview.com/symbols/IDX-AUTO/,Growth Value
